Year,Country,Aging rate
1950,Russia,0.047986086
1951,Russia,0.04824022
1952,Russia,0.048669001
1953,Russia,0.049343749
1954,Russia,0.050108225
1955,Russia,0.05099655
1956,Russia,0.052242718
1957,Russia,0.053666767
1958,Russia,0.056650381
1959,Russia,0.059562739
1960,Russia,0.060776915
1961,Russia,0.062021028
1962,Russia,0.062817301
1963,Russia,0.063613371
1964,Russia,0.064825785
1965,Russia,0.066571039
1966,Russia,0.068496453
1967,Russia,0.070448272
1968,Russia,0.072720146
1969,Russia,0.074988526
1970,Russia,0.077049951
1971,Russia,0.079367391
1972,Russia,0.081960093
1973,Russia,0.08435056
1974,Russia,0.086982596
1975,Russia,0.089761058
1976,Russia,0.092469276
1977,Russia,0.095371244
1978,Russia,0.098232273
1979,Russia,0.100691425
1980,Russia,0.101934363
1981,Russia,0.101370648
1982,Russia,0.099750887
1983,Russia,0.098694287
1984,Russia,0.097931674
1985,Russia,0.096412071
1986,Russia,0.095102942
1987,Russia,0.09454308
1988,Russia,0.094971255
1989,Russia,0.096808258
1990,Russia,0.099574611
1991,Russia,0.103079383
1992,Russia,0.107506468
1993,Russia,0.112152552
1994,Russia,0.116020427
1995,Russia,0.118972147
1996,Russia,0.12112107
1997,Russia,0.12275771
1998,Russia,0.12351007
1999,Russia,0.123188041
2000,Russia,0.123489806
2001,Russia,0.124946525
2002,Russia,0.127714349
2003,Russia,0.131374742
2004,Russia,0.135000494
2005,Russia,0.137955752
2006,Russia,0.139799665
2007,Russia,0.139294279
2008,Russia,0.1358019
2009,Russia,0.131409223
2010,Russia,0.127909505
2011,Russia,0.126968803
2012,Russia,0.128298156
2013,Russia,0.130114397
2014,Russia,0.132895164
2015,Russia,0.136155046
2016,Russia,0.139021033
2017,Russia,0.142159113
2018,Russia,0.14540355
2019,Russia,0.149070047
2020,Russia,0.153060669
2021,Russia,0.155934123
1950,Japan,0.048913317
1951,Japan,0.049303115
1952,Japan,0.050004671
1953,Japan,0.050927409
1954,Japan,0.052044057
1955,Japan,0.053275958
1956,Japan,0.054171957
1957,Japan,0.054892013
1958,Japan,0.05578206
1959,Japan,0.056867115
1960,Japan,0.057992667
1961,Japan,0.059124666
1962,Japan,0.060245779
1963,Japan,0.061514307
1964,Japan,0.062886346
1965,Japan,0.064198414
1966,Japan,0.06588502
1967,Japan,0.067763607
1968,Japan,0.069384088
1969,Japan,0.070770812
1970,Japan,0.071976982
1971,Japan,0.073196543
1972,Japan,0.074813215
1973,Japan,0.076696432
1974,Japan,0.078602935
1975,Japan,0.080656665
1976,Japan,0.08284512
1977,Japan,0.085261366
1978,Japan,0.087798758
1979,Japan,0.09041562
1980,Japan,0.092987191
1981,Japan,0.095483484
