Year	Male_pop	Female_pop
2023	72626	69391
2024	73071	69939
2025	73345	70452
2026	73626	70897
2027	73907	71305
2028	74138	71674
2029	74330	71977
2030	74507	72278
2031	74614	72514
2032	74605	72701
2033	74498	72816
2034	74421	72921
2035	74305	72884
2036	74183	72924
2037	73930	72901
2038	73699	72825
2039	73446	72711
2040	73184	72559
2041	72915	72383
2042	72596	72288
2043	72230	72183
2044	71904	72011
2045	71572	71774
2046	71206	71570
2047	70837	71315
2048	70426	71022
2049	69993	70756
2050	69580	70454
2051	69120	70086
2052	68648	69742
2053	68056	69321
2054	67555	68893
2055	66975	68450
2056	66317	67972
2057	65663	67477
2058	65017	66921
2059	64323	66361
2060	63602	65734
2061	62911	65069
2062	62204	64379
2063	61493	63784
2064	60706	63078
2065	59953	62412
2066	59218	61699
2067	58508	60982
2068	57741	60315
2069	56955	59599
2070	56249	58837
2071	55480	58171
2072	54750	57485
2073	54033	56821
2074	53268	56078
2075	52617	55389
2076	51922	54632
2077	51181	53888
2078	50436	53190
2079	49749	52545
2080	49054	51813
2081	48387	51145
2082	47703	50426
2083	47059	49793
2084	46358	49112
2085	45621	48460
2086	44944	47842
2087	44333	47139
2088	43682	46510
2089	43072	45862
2090	42422	45270
2091	41800	44693
2092	41266	44024
2093	40654	43434
2094	40034	42889
2095	39436	42337
2096	38863	41766
2097	38314	41217
2098	37780	40697
2099	37278	40172
2100	36718	39665
