Year	Male_pop	Female_pop
2023	72394	69178
2024	72602	69482
2025	72759	69749
2026	72931	70018
2027	73032	70306
2028	73070	70486
2029	72994	70678
2030	72982	70736
2031	72872	70786
2032	72754	70771
2033	72526	70752
2034	72271	70667
2035	72067	70598
2036	71743	70410
2037	71388	70237
2038	71038	70087
2039	70664	69853
2040	70282	69632
2041	69815	69341
2042	69311	69069
2043	68824	68706
2044	68296	68329
2045	67769	67951
2046	67205	67533
2047	66596	67119
2048	65940	66667
2049	65260	66237
2050	64590	65701
2051	63964	65120
2052	63259	64491
2053	62499	63981
2054	61686	63344
2055	60862	62678
2056	60074	62009
2057	59204	61328
2058	58345	60575
2059	57480	59832
2060	56657	58994
2061	55780	58186
2062	54889	57298
2063	53964	56506
2064	53076	55656
2065	52212	54788
2066	51267	53884
2067	50321	53002
2068	49343	52119
2069	48396	51180
2070	47440	50307
2071	46537	49460
2072	45629	48490
2073	44695	47592
2074	43820	46694
2075	42921	45801
2076	42069	44904
2077	41151	44082
2078	40270	43228
2079	39347	42349
2080	38491	41472
2081	37605	40638
2082	36765	39781
2083	35915	38922
2084	35089	38100
2085	34284	37266
2086	33530	36407
2087	32717	35570
2088	31950	34713
2089	31150	33867
2090	30383	33074
2091	29661	32325
2092	28925	31610
2093	28299	30881
2094	27618	30182
2095	27013	29488
2096	26347	28785
2097	25702	28123
2098	25076	27475
2099	24424	26886
2100	23797	26237
