电影名称,导演,电影类型,国家,上映年份,评分,评论人数
肖申克的救赎,弗兰克·德拉邦特,剧情/犯罪,美国,1994,9.7,2840854
霸王别姬,陈凯歌,剧情/爱情/同性,中国大陆 / 中国香港,1993,9.6,2104006
阿甘正传,罗伯特·泽米吉斯,剧情/爱情,美国,1994,9.5,2125602
泰坦尼克号,詹姆斯·卡梅隆,剧情/爱情/灾难,美国 / 墨西哥,1997,9.5,2147345
这个杀手不太冷,吕克·贝松,剧情/动作/犯罪,法国 / 美国,1994,9.4,2260275
美丽人生,罗伯托·贝尼尼,剧情/喜剧/爱情/战争,意大利,1997,9.6,1306535
千与千寻,宫崎骏,剧情/动画/奇幻,日本,2001,9.4,2202561
辛德勒的名单,史蒂文·斯皮尔伯格,剧情/历史/战争,美国,1993,9.6,1088430
星际穿越,克里斯托弗·诺兰,剧情/科幻/冒险,美国 / 英国 / 加拿大,2014,9.4,1796592
盗梦空间,克里斯托弗·诺兰,剧情/科幻/悬疑/冒险,美国 / 英国,2010,9.4,2029410
楚门的世界,彼得·威尔,剧情/科幻,美国,1998,9.4,1668962
忠犬八公的故事,拉斯·霍尔斯道姆,剧情,美国 / 英国,2009,9.4,1379767
海上钢琴师,朱塞佩·托纳多雷,剧情/音乐,意大利,1998,9.3,1653357
三傻大闹宝莱坞,拉吉库马尔·希拉尼,剧情/喜剧/爱情/歌舞,印度,2009,9.2,1832060
放牛班的春天,克里斯托夫·巴哈蒂,剧情/音乐,法国 / 瑞士 / 德国,2004,9.3,1291484
机器人总动员,安德鲁·斯坦顿,科幻/动画/冒险,美国,2008,9.3,1296629
无间道,刘伟强,剧情/惊悚/犯罪,中国香港,2002,9.3,1338701
疯狂动物城,拜伦·霍华德,喜剧/动画/冒险,美国,2016,9.2,1893607
控方证人,比利·怀尔德,剧情/悬疑/犯罪,美国,1957,9.6,540243
大话西游之大圣娶亲,刘镇伟,喜剧/爱情/奇幻/古装,中国香港 / 中国大陆,1995,9.2,1509275
熔炉,黄东赫,剧情,韩国,2011,9.4,918357
教父,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1972,9.3,949798
当幸福来敲门,加布里埃莱·穆奇诺,剧情/家庭/传记,美国,2006,9.2,1496991
触不可及,奥利维埃·纳卡什,剧情/喜剧,法国,2011,9.3,1092526
怦然心动,罗伯·莱纳,剧情/喜剧/爱情,美国,2010,9.1,1804308
龙猫,宫崎骏,动画/奇幻/冒险,日本,1988,9.2,1244646
末代皇帝,贝纳尔多·贝托鲁奇,剧情/传记/历史,英国 / 意大利 / 中国大陆 / 法国,1987,9.3,864394
寻梦环游记,李·昂克里奇,喜剧/动画/音乐/奇幻,美国,2017,9.1,1642380
活着,张艺谋,剧情/家庭/历史,中国大陆 / 中国香港,1994,9.3,828821
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,剧情/动作/科幻/惊悚/犯罪,美国 / 英国,2008,9.2,1038785
哈利·波特与魔法石,克里斯·哥伦布,奇幻/冒险,美国 / 英国,2001,9.2,1164465
指环王3：王者无敌,彼得·杰克逊,剧情/动作/奇幻/冒险,美国 / 新西兰,2003,9.3,789522
乱世佳人,维克多·弗莱明,剧情/爱情/历史/战争,美国,1939,9.3,679330
我不是药神,文牧野,剧情/喜剧,中国大陆,2018,9,2064827
素媛,李濬益,剧情,韩国,2013,9.3,675365
飞屋环游记,彼特·道格特,剧情/喜剧/动画/冒险,美国,2009,9.1,1302728
十二怒汉,西德尼·吕美特,剧情,美国,1957,9.4,480557
何以为家,娜丁·拉巴基,剧情,黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,2018,9.1,1027795
哈尔的移动城堡,宫崎骏,动画/奇幻/冒险,日本,2004,9.1,1003759
摔跤吧！爸爸,涅提·蒂瓦里,剧情/家庭/传记/运动,印度,2016,9,1545885
鬼子来了,姜文,剧情/喜剧,中国大陆,2000,9.3,616264
让子弹飞,姜文,剧情/喜剧/动作/西部,中国大陆 / 中国香港,2010,9,1670993
少年派的奇幻漂流,李安,剧情/奇幻/冒险,美国 / 中国台湾 / 英国 / 加拿大,2012,9.1,1331060
猫鼠游戏,史蒂文·斯皮尔伯格,剧情/传记/犯罪,美国 / 加拿大,2002,9.1,1001835
海蒂和爷爷,阿兰·葛斯彭纳,剧情/家庭/冒险,德国 / 瑞士,2015,9.3,592924
钢琴家,罗曼·波兰斯基,剧情/音乐/传记/战争,英国 / 法国 / 波兰 / 德国,2002,9.3,624271
大话西游之月光宝盒,刘镇伟,喜剧/爱情/奇幻/古装,中国香港 / 中国大陆,1995,9,1202017
天空之城,宫崎骏,动画/奇幻/冒险,日本,1986,9.2,806548
指环王2：双塔奇兵,彼得·杰克逊,剧情/动作/奇幻/冒险,美国 / 新西兰,2002,9.2,739715
闻香识女人,马丁·布莱斯特,剧情,美国,1992,9.1,866473
天堂电影院,朱塞佩·托纳多雷,剧情/爱情,意大利 / 法国,1988,9.2,670937
罗马假日,威廉·惠勒,剧情/喜剧/爱情,美国,1953,9.1,935619
死亡诗社,彼得·威尔,剧情,美国,1989,9.2,710108
绿皮书,彼得·法雷里,剧情/喜剧/音乐/传记,美国 / 中国大陆,2018,8.9,1618233
大闹天宫,万籁鸣,剧情/动画/奇幻/古装,中国大陆,1961,9.4,428296
指环王1：护戒使者,彼得·杰克逊,剧情/动作/奇幻/冒险,新西兰 / 美国,2001,9.1,832309
黑客帝国,莉莉·沃卓斯基,动作/科幻,美国,1999,9.1,824689
教父2,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1974,9.3,542053
狮子王,罗杰·阿勒斯,动画/歌舞/冒险,美国,1994,9.1,823486
辩护人,杨宇硕,剧情,韩国,2013,9.2,581201
饮食男女,李安,剧情/家庭,中国台湾 / 美国,1994,9.2,610262
搏击俱乐部,大卫·芬奇,剧情/动作/悬疑/惊悚,美国 / 德国 / 意大利,1999,9,833278
美丽心灵,朗·霍华德,剧情/传记,美国,2001,9.1,757426
本杰明·巴顿奇事,大卫·芬奇,剧情/爱情/奇幻,美国,2008,9,967485
穿条纹睡衣的男孩,马克·赫尔曼,剧情/战争,英国 / 美国,2008,9.2,553405
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,剧情/悬疑,德国,2006,9.2,556072
情书,岩井俊二,剧情/爱情,日本,1995,8.9,1092345
两杆大烟枪,盖·里奇,剧情/喜剧/犯罪,英国,1998,9.1,586822
西西里的美丽传说,朱塞佩·托纳多雷,剧情/情色/战争,意大利 / 美国,2000,8.9,959770
音乐之声,罗伯特·怀斯,剧情/爱情/歌舞/传记,美国,1965,9.1,591658
看不见的客人,奥里奥尔·保罗,剧情/悬疑/惊悚/犯罪,西班牙,2016,8.8,1235766
阿凡达,詹姆斯·卡梅隆,动作/科幻/冒险,美国,2009,8.8,1399427
拯救大兵瑞恩,史蒂文·斯皮尔伯格,剧情/战争,美国,1998,9.1,636779
飞越疯人院,米洛斯·福尔曼,剧情,美国,1975,9.1,538744
小鞋子,马基德·马基迪,剧情/家庭/儿童,伊朗,1997,9.2,404520
哈利·波特与死亡圣器(下),大卫·叶茨,奇幻/冒险,美国 / 英国,2011,9,815139
沉默的羔羊,乔纳森·戴米,剧情/惊悚/犯罪,美国,1991,8.9,872911
布达佩斯大饭店,韦斯·安德森,剧情/喜剧/冒险,美国 / 德国 / 英国,2014,8.9,912531
禁闭岛,马丁·斯科塞斯,剧情/悬疑/惊悚,美国,2010,8.9,957426
蝴蝶效应,埃里克·布雷斯,剧情/科幻/悬疑/惊悚,美国 / 加拿大,2004,8.9,921194
致命魔术,克里斯托弗·诺兰,剧情/悬疑/惊悚,英国 / 美国,2006,8.9,842816
功夫,周星驰,喜剧/动作/犯罪/奇幻,中国大陆 / 中国香港,2004,8.8,1101910
海豚湾,路易·西霍尤斯,纪录片,美国,2009,9.3,353505
心灵捕手,格斯·范·桑特,剧情,美国,1997,8.9,699606
低俗小说,昆汀·塔伦蒂诺,剧情/喜剧/犯罪,美国,1994,8.9,820231
美国往事,赛尔乔·莱昂内,剧情/犯罪,美国 / 意大利,1984,9.2,405262
春光乍泄,王家卫,剧情/爱情/同性,中国香港 / 日本 / 韩国,1997,9,622554
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆,奇幻/冒险,英国 / 美国,2004,8.9,711106
摩登时代,查理·卓别林,剧情/喜剧/爱情,美国,1936,9.3,295216
超脱,托尼·凯耶,剧情,美国,2011,9,584021
喜剧之王,周星驰,剧情/喜剧/爱情,中国香港,1999,8.8,952779
致命ID,詹姆斯·曼高德,剧情/悬疑/惊悚,美国,2003,8.9,808559
杀人回忆,奉俊昊,剧情/动作/悬疑/惊悚/犯罪,韩国,2003,8.9,698949
七宗罪,大卫·芬奇,剧情/悬疑/惊悚/犯罪,美国,1995,8.8,929539
红辣椒,今敏,科幻/动画/悬疑/惊悚,日本,2006,9.1,453281
加勒比海盗,戈尔·维宾斯基,动作/奇幻/冒险,美国,2003,8.8,842997
哈利·波特与密室,克里斯·哥伦布,奇幻/冒险,英国 / 美国,2002,8.8,738444
狩猎,托马斯·温特伯格,剧情,丹麦 / 瑞典,2012,9.1,382349
一一,杨德昌,剧情/爱情/家庭,中国台湾 / 日本,2000,9.1,383779
被嫌弃的松子的一生,中岛哲也,剧情/歌舞,日本,2006,8.9,694140
7号房的礼物,李焕庆,剧情/喜剧/家庭,韩国,2013,8.9,548562
唐伯虎点秋香,李力持,喜剧/爱情/古装,中国香港,1993,8.7,1059648
请以你的名字呼唤我,卢卡·瓜达尼诺,剧情/爱情/同性,意大利 / 法国 / 巴西 / 美国,2017,8.9,709017
断背山,李安,剧情/爱情/同性/家庭,美国 / 加拿大,2005,8.8,698086
剪刀手爱德华,蒂姆·波顿,剧情/爱情/奇幻,美国,1990,8.7,1021774
勇敢的心,梅尔·吉布森,剧情/动作/传记/历史/战争,美国,1995,8.9,553002
入殓师,泷田洋二郎,剧情,日本,2008,8.9,653534
爱在黎明破晓前,理查德·林克莱特,剧情/爱情,美国 / 奥地利 / 瑞士,1995,8.8,668727
第六感,M·奈特·沙马兰,剧情/悬疑/惊悚,美国,1999,8.9,546838
重庆森林,王家卫,剧情/爱情,中国香港,1994,8.8,796641
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,剧情/动作/科幻/惊悚/犯罪,美国 / 英国,2012,8.8,706789
幽灵公主,宫崎骏,动画/奇幻/冒险,日本,1997,8.9,514876
超能陆战队,唐·霍尔,喜剧/动作/科幻/动画/冒险,美国,2014,8.7,994477
菊次郎的夏天,北野武,剧情/喜剧,日本,1999,8.9,585490
爱在日落黄昏时,理查德·林克莱特,剧情/爱情,美国 / 法国,2004,8.9,548851
甜蜜蜜,陈可辛,剧情/爱情,中国香港,1996,8.9,539817
天使爱美丽,让-皮埃尔·热内,剧情/喜剧/爱情,法国 / 德国,2001,8.7,946623
阳光灿烂的日子,姜文,剧情/爱情,中国大陆 / 中国香港,1994,8.9,605448
小森林 夏秋篇,森淳一,剧情,日本,2014,9,419120
完美的世界,克林特·伊斯特伍德,剧情/犯罪,美国,1993,9.1,309333
借东西的小人阿莉埃蒂,米林宏昌,动画/奇幻/冒险,日本,2010,8.9,543306
无人知晓,是枝裕和,剧情,日本,2004,9.1,313033
消失的爱人,大卫·芬奇,剧情/悬疑/惊悚/犯罪,美国,2014,8.7,917836
倩女幽魂,程小东,爱情/奇幻/武侠/古装,中国香港,1987,8.8,724424
寄生虫,奉俊昊,剧情,韩国,2019,8.8,1346792
侧耳倾听,近藤喜文,剧情/爱情/动画,日本,1995,8.9,454402
小森林 冬春篇,森淳一,剧情,日本,2015,9,374287
时空恋旅人,理查德·柯蒂斯,喜剧/爱情/奇幻,英国,2013,8.8,652081
幸福终点站,史蒂文·斯皮尔伯格,剧情/喜剧/爱情,美国,2004,8.8,559793
驯龙高手,迪恩·德布洛斯,动画/奇幻/冒险,美国,2010,8.8,744094
教父3,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1990,9,366907
一个叫欧维的男人决定去死,汉内斯·赫尔姆,剧情,瑞典,2015,8.9,468535
萤火之森,大森贵弘,剧情/爱情/动画/奇幻,日本,2011,8.9,528130
未麻的部屋,今敏,动画/惊悚/奇幻,日本,1997,9.1,324363
怪兽电力公司,彼特·道格特,喜剧/动画/儿童/奇幻/冒险,美国,2001,8.8,657287
哈利·波特与火焰杯,迈克·内威尔,悬疑/奇幻/冒险,英国 / 美国,2005,8.8,644091
玩具总动员3,李·昂克里奇,喜剧/动画/奇幻/冒险,美国,2010,8.9,505290
傲慢与偏见,乔·赖特,剧情/爱情,法国 / 英国 / 美国,2005,8.7,783671
新世界,朴勋政,剧情/犯罪,韩国,2013,8.9,422592
釜山行,延尚昊,动作/惊悚/灾难,韩国,2016,8.6,1179032
神偷奶爸,皮埃尔·柯芬,喜剧/动画/冒险,美国 / 法国,2010,8.7,933604
玛丽和马克思,亚当·艾略特,剧情/喜剧/动画,澳大利亚 / 美国,2009,9,417594
被解救的姜戈,昆汀·塔伦蒂诺,剧情/动作/西部/冒险,美国,2012,8.8,598694
告白,中岛哲也,剧情/悬疑,日本,2010,8.8,663362
大鱼,蒂姆·波顿,剧情/家庭/奇幻/冒险,美国,2003,8.8,561068
哪吒闹海,王树忱,动画/奇幻/冒险,中国大陆,1979,9.2,254238
射雕英雄传之东成西就,刘镇伟,喜剧/奇幻/武侠/古装,中国香港,1993,8.7,626086
模仿游戏,莫滕·泰杜姆,剧情/同性/传记/战争,英国 / 美国,2014,8.8,636031
喜宴,李安,剧情/喜剧/爱情/同性/家庭,中国台湾 / 美国,1993,9,354922
头号玩家,史蒂文·斯皮尔伯格,动作/科幻/冒险,美国,2018,8.7,1346881
阳光姐妹淘,姜炯哲,剧情/喜剧,韩国,2011,8.8,583961
我是山姆,杰茜·尼尔森,剧情/家庭,美国,2001,9,332467
恐怖直播,金秉祐,剧情/悬疑/犯罪,韩国,2013,8.7,641923
九品芝麻官,王晶,剧情/喜剧/古装,中国香港 / 中国大陆,1994,8.7,661746
花样年华,王家卫,剧情/爱情,中国香港,2000,8.7,595424
血战钢锯岭,梅尔·吉布森,剧情/传记/历史/战争,澳大利亚 / 美国,2016,8.7,772703
茶馆,谢添,剧情/历史,中国大陆,1982,9.6,138029
七武士,黑泽明,剧情/动作/冒险,日本,1954,9.3,194223
色，戒,李安,剧情/爱情/情色,中国台湾 / 中国大陆 / 美国 / 中国香港,2007,8.7,785402
头脑特工队,彼特·道格特,喜剧/动画/冒险,美国,2015,8.8,599441
惊魂记,阿尔弗雷德·希区柯克,悬疑/惊悚/恐怖,美国,1960,9,286181
黑客帝国3：矩阵革命,拉娜·沃卓斯基,动作/科幻,美国,2003,8.8,439906
你的名字。,新海诚,剧情/爱情/动画,日本,2016,8.5,1383745
电锯惊魂,温子仁,悬疑/惊悚/恐怖,美国,2004,8.8,522451
三块广告牌,马丁·麦克唐纳,剧情/犯罪,英国 / 美国,2017,8.7,808722
达拉斯买家俱乐部,让-马克·瓦雷,剧情/同性/传记,美国,2013,8.8,445485
疯狂原始人,柯克·德·米科,喜剧/动画/冒险,美国,2013,8.7,825796
心迷宫,忻钰坤,剧情/悬疑/犯罪,中国大陆,2014,8.7,510655
卢旺达饭店,特瑞·乔治,剧情/传记/历史/战争,英国 / 南非 / 意大利 / 美国,2004,8.9,324483
谍影重重3,保罗·格林格拉斯,动作/悬疑/惊悚,美国 / 德国 / 法国 / 英国,2007,8.8,411213
上帝之城,费尔南多·梅里尔斯,剧情/犯罪,巴西 / 法国,2002,9,297501
英雄本色,吴宇森,剧情/动作/犯罪,中国香港,1986,8.6,530223
纵横四海,吴宇森,剧情/喜剧/动作/犯罪,中国香港,1991,8.8,417720
风之谷,宫崎骏,动画/奇幻/冒险,日本,1984,8.9,349298
海街日记,是枝裕和,剧情/家庭,日本,2015,8.8,439623
爱在午夜降临前,理查德·林克莱特,剧情/爱情,美国 / 希腊,2013,8.9,393403
绿里奇迹,弗兰克·德拉邦特,剧情/悬疑/犯罪/奇幻,美国,1999,8.9,323000
记忆碎片,克里斯托弗·诺兰,剧情/悬疑/惊悚/犯罪,美国,2000,8.7,591562
岁月神偷,罗启锐,剧情/家庭,中国香港 / 中国大陆,2010,8.7,568163
忠犬八公物语,神山征二郎,剧情,日本,1987,9.2,192282
荒蛮故事,达米安·斯兹弗隆,剧情/喜剧/犯罪,阿根廷 / 西班牙,2014,8.8,436329
疯狂的石头,宁浩,喜剧/犯罪,中国大陆 / 中国香港,2006,8.6,806059
雨中曲,斯坦利·多南,喜剧/爱情/歌舞,美国,1952,9.1,220150
小偷家族,是枝裕和,剧情/家庭/犯罪,日本,2018,8.7,801482
爆裂鼓手,达米恩·查泽雷,剧情/音乐,美国,2014,8.7,578138
无敌破坏王,瑞奇·摩尔,喜剧/动画/奇幻/冒险,美国,2012,8.7,527745
2001太空漫游,斯坦利·库布里克,科幻/惊悚/冒险,英国 / 美国,1968,8.9,319660
背靠背，脸对脸,黄建新,剧情,中国大陆 / 中国香港,1994,9.5,128062
小丑,托德·菲利普斯,剧情/惊悚/犯罪,美国 / 加拿大,2019,8.7,988060
贫民窟的百万富翁,丹尼·博伊尔,剧情/爱情,英国,2008,8.6,735358
无间道2,刘伟强,剧情/惊悚/犯罪,中国香港,2003,8.7,467868
冰川时代,卡洛斯·沙尔丹哈,喜剧/动画/冒险,美国,2002,8.6,602500
东邪西毒,王家卫,剧情/动作/爱情/武侠/古装,中国香港 / 中国台湾,1994,8.6,568450
恐怖游轮,克里斯托弗·史密斯,剧情/悬疑/惊悚,英国 / 澳大利亚,2009,8.5,845007
心灵奇旅,彼特·道格特,动画/音乐/奇幻,美国,2020,8.7,957570
牯岭街少年杀人事件,杨德昌,剧情/犯罪,中国台湾,1991,8.9,292479
真爱至上,理查德·柯蒂斯,剧情/喜剧/爱情,英国 / 美国 / 法国,2003,8.6,723341
你看起来好像很好吃,藤森雅也,剧情/动画/儿童,日本,2010,8.9,327953
遗愿清单,罗伯·莱纳,剧情/喜剧/冒险,美国,2007,8.7,451069
魔女宅急便,宫崎骏,动画/奇幻/冒险,日本,1989,8.7,450825
东京教父,今敏,剧情/喜剧/动画,日本,2003,9,223550
黑天鹅,达伦·阿伦诺夫斯基,剧情/惊悚,美国,2010,8.6,770561
大佛普拉斯,黄信尧,剧情/喜剧,中国台湾,2017,8.7,445019
可可西里,陆川,剧情/犯罪,中国大陆 / 中国香港,2004,8.9,298219
城市之光,查理·卓别林,剧情/喜剧/爱情,美国,1931,9.3,143034
雨人,巴瑞·莱文森,剧情,美国,1988,8.7,397763
源代码,邓肯·琼斯,科幻/悬疑/惊悚,美国 / 加拿大,2011,8.5,822073
恋恋笔记本,尼克·卡萨维蒂,剧情/爱情,美国,2004,8.5,659180
海边的曼彻斯特,肯尼思·洛纳根,剧情/家庭,美国,2016,8.6,523959
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林,剧情/喜剧/爱情,泰国,2010,8.5,968893
人工智能,史蒂文·斯皮尔伯格,剧情/科幻,美国 / 英国,2001,8.7,437778
虎口脱险,热拉尔·乌里,喜剧/战争,法国 / 英国,1966,8.9,251948
波西米亚狂想曲,布莱恩·辛格,剧情/同性/音乐/传记,英国 / 美国,2018,8.6,592983
