排名,电影名称,上映时间,总票房(元),平均票价,平均场次
1,长津湖,2021/9/30,5775749383,46,22
2,战狼2,2017/7/27,5688740597,36,37
3,你好，李焕英,2021/2/12,5413299787,45,24
4,哪吒之魔童降世,2019/7/26,5035020808,36,23
5,流浪地球,2019/2/5,4687712649,45,29
6,满江红,2023/1/22,4545870010,50,24
7,唐人街探案3,2021/2/12,4522346007,48,29
8,复仇者联盟4：终局之战,2019/4/24,4250383910,49,23
9,长津湖之水门桥,2022/2/1,4069224298,49,19
10,流浪地球2,2023/1/22,4030076238,51,21
11,红海行动,2018/2/16,3652535221,39,32
12,唐人街探案2,2018/2/16,3397688097,39,39
13,美人鱼,2016/2/8,3397175023,37,43
14,我和我的祖国,2019/9/30,3176393301,38,35
15,独行月球,2022/7/29,3104761595,42,12
16,八佰,2020/8/21,3102323734,38,20
17,我不是药神,2018/7/5,3099961063,35,27
18,中国机长,2019/9/30,2913710384,37,25
19,我和我的家乡,2020/10/1,2828956017,39,19
20,速度与激情8,2017/4/14,2670959285,37,30
21,这个杀手不太冷静,2022/2/1,2629194673,48,14
22,西虹市首富,2018/7/27,2547571742,35,28
23,捉妖记,2015/7/16,2441462276,37,41
24,速度与激情7,2015/4/12,2426586547,39,42
25,复仇者联盟3：无限战争,2018/5/11,2390537333,38,19
26,捉妖记2,2018/2/16,2237154621,38,44
27,疯狂的外星人,2019/2/5,2214254201,42,30
28,羞羞的铁拳,2017/9/30,2201748735,33,25
29,海王,2018/12/7,2013198359,36,18
30,变形金刚4：绝迹重生,2014/6/27,1977522538,42,50
31,前任3：再见前任,2017/12/29,1941740154,35,29
32,毒液：致命守护者,2018/11/9,1870680440,36,17
33,功夫瑜伽,2017/1/28,1752603744,38,33
34,飞驰人生,2019/2/5,1729373180,42,25
35,人生大事,2022/6/24,1713157694,40,10
36,烈火英雄,2019/8/1,1707188998,36,19
37,阿凡达：水之道,2022/12/16,1697503373,50,8
38,侏罗纪世界2,2018/6/15,1695882459,36,19
39,寻龙诀,2015/12/18,1682742951,36,40
40,西游伏妖篇,2017/1/28,1655926405,39,36
41,港囧,2015/9/25,1614103585,33,40
42,姜子牙,2020/10/1,1602983421,40,19
43,万里归途,2022/9/30,1593046746,42,8
44,少年的你,2019/10/25,1559025893,36,16
45,变形金刚5：最后的骑士,2017/6/23,1551242789,37,23
46,疯狂动物城,2016/3/4,1534528741,34,28
47,熊出没·伴我“熊芯”,2023/1/22,1495920899,46,19
48,我和我的父辈,2021/9/30,1477337708,43,16
49,魔兽,2016/6/8,1472297906,37,25
50,复仇者联盟2：奥创纪元,2015/5/12,1464392888,40,29
51,夏洛特烦恼,2015/9/30,1447823756,32,33
52,速度与激情：特别行动,2019/8/23,1434299899,36,15
53,送你一朵小红花,2020/12/31,1432514793,37,12
54,芳华,2017/12/15,1422584326,34,25
55,侏罗纪世界,2015/6/10,1420732788,38,33
56,蜘蛛侠：英雄远征,2019/6/28,1417682880,36,17
57,头号玩家,2018/3/30,1396660613,36,18
58,速度与激情9,2021/5/21,1392334091,39,13
59,奇迹·笨小孩,2022/2/1,1379926572,46,11
60,后来的我们,2018/4/28,1361525311,34,21
61,一出好戏,2018/8/10,1355047659,35,26
62,阿凡达,2010/1/4,1339858550,50,72
63,误杀,2019/12/13,1334467764,33,11
64,怒火·重案,2021/7/30,1329076474,39,8
65,中国医生,2021/7/9,1328735567,36,11
66,拆弹专家2,2020/12/24,1314778689,39,11
67,扫毒2：天地对决,2019/7/5,1312886495,36,17
68,摔跤吧！爸爸,2017/5/5,1299181431,30,22
69,无双,2018/9/30,1273770349,36,15
70,人再囧途之泰囧,2012/12/12,1271956555,32,45
71,西游降魔篇,2013/2/10,1246990794,40,41
72,美国队长3：英雄内战,2016/5/6,1246348110,35,25
73,碟中谍6：全面瓦解,2018/8/31,1245216802,37,15
74,哥斯拉大战金刚,2021/3/26,1232628705,37,9
75,寻梦环游记,2017/11/24,1229548349,33,17
76,西游记之孙悟空三打白骨精,2016/2/8,1201008291,37,36
77,悬崖之上,2021/4/30,1191440514,39,12
78,湄公河行动,2016/9/30,1188593938,30,24
79,叶问4：完结篇,2019/12/20,1183313120,35,11
80,加勒比海盗5：死无对证,2017/5/26,1179909693,36,22
81,长城,2016/12/16,1174569050,35,21
82,心花路放,2014/9/30,1169343744,34,36
83,煎饼侠,2015/7/17,1162757257,33,39
84,金刚：骷髅岛,2017/3/24,1160499217,35,20
85,大黄蜂,2019/1/4,1149841394,36,11
86,极限特工：终极回归,2017/2/10,1127410361,36,23
87,金刚川,2020/10/23,1127311962,37,8
88,误杀2,2021/12/17,1121704430,39,9
89,澳门风云3,2016/2/8,1118212086,36,36
90,生化危机：终章,2017/2/24,1111817301,35,20
91,攀登者,2019/9/30,1105978916,37,21
92,变形金刚3,2011/7/21,1071571922,42,54
93,侏罗纪世界3,2022/6/10,1059933461,36,8
94,巨齿鲨,2018/8/10,1053723210,38,22
95,乘风破浪,2017/1/28,1048529407,36,27
96,西游记之大闹天宫,2014/1/31,1045497027,42,40
97,神偷奶爸3,2017/7/7,1037812959,34,20
